z_word_count,paper_forum,replyto
536,zzqBoIFOQ1,zzqBoIFOQ1
274,zzqBoIFOQ1,zzqBoIFOQ1
511,zzqBoIFOQ1,zzqBoIFOQ1
551,zzqBoIFOQ1,zzqBoIFOQ1
848,zzL_5WoI3I,zzL_5WoI3I
820,zzL_5WoI3I,zzL_5WoI3I
475,zzL_5WoI3I,zzL_5WoI3I
677,zyfEWkV6it,zyfEWkV6it
834,zyfEWkV6it,zyfEWkV6it
460,zyfEWkV6it,zyfEWkV6it
391,zyfEWkV6it,zyfEWkV6it
652,zyfEWkV6it,zyfEWkV6it
497,zyfEWkV6it,zyfEWkV6it
421,zyLVMgsZ0U_,zyLVMgsZ0U_
937,zyLVMgsZ0U_,zyLVMgsZ0U_
813,zyLVMgsZ0U_,zyLVMgsZ0U_
299,zyLVMgsZ0U_,zyLVMgsZ0U_
643,zufPou5foW,zufPou5foW
623,zufPou5foW,zufPou5foW
494,zufPou5foW,zufPou5foW
362,zufPou5foW,zufPou5foW
291,zuQQ7GrDFfH,zuQQ7GrDFfH
734,zuQQ7GrDFfH,zuQQ7GrDFfH
243,zuQQ7GrDFfH,zuQQ7GrDFfH
660,zuQQ7GrDFfH,zuQQ7GrDFfH
595,ztgT8Iok130,ztgT8Iok130
914,ztgT8Iok130,ztgT8Iok130
882,ztgT8Iok130,ztgT8Iok130
605,ztgT8Iok130,ztgT8Iok130
686,zt53IDUR1U,zt53IDUR1U
315,zt53IDUR1U,zt53IDUR1U
540,zt53IDUR1U,zt53IDUR1U
467,zqwryBoXYnh,zqwryBoXYnh
300,zqwryBoXYnh,zqwryBoXYnh
462,zqwryBoXYnh,zqwryBoXYnh
772,zqwryBoXYnh,zqwryBoXYnh
263,zqkfJA6R1-r,zqkfJA6R1-r
388,zqkfJA6R1-r,zqkfJA6R1-r
654,zqkfJA6R1-r,zqkfJA6R1-r
574,zoz7Ze4STUL,zoz7Ze4STUL
561,zoz7Ze4STUL,zoz7Ze4STUL
498,zoz7Ze4STUL,zoz7Ze4STUL
383,zoz7Ze4STUL,zoz7Ze4STUL
227,zoTUH3Fjup,zoTUH3Fjup
778,zoTUH3Fjup,zoTUH3Fjup
1015,zoTUH3Fjup,zoTUH3Fjup
665,znLlSgN-4S0,znLlSgN-4S0
339,znLlSgN-4S0,znLlSgN-4S0
387,znLlSgN-4S0,znLlSgN-4S0
609,znLlSgN-4S0,znLlSgN-4S0
493,zlwBI2gQL3K,zlwBI2gQL3K
601,zlwBI2gQL3K,zlwBI2gQL3K
507,zlwBI2gQL3K,zlwBI2gQL3K
346,zlwBI2gQL3K,zlwBI2gQL3K
655,zlbci7019Z3,zlbci7019Z3
696,zlbci7019Z3,zlbci7019Z3
451,zlbci7019Z3,zlbci7019Z3
703,zjSeBTEdXp1,zjSeBTEdXp1
746,zjSeBTEdXp1,zjSeBTEdXp1
421,zjSeBTEdXp1,zjSeBTEdXp1
373,zgVDqw9ZUES,zgVDqw9ZUES
720,zgVDqw9ZUES,zgVDqw9ZUES
295,zgVDqw9ZUES,zgVDqw9ZUES
317,zgVDqw9ZUES,zgVDqw9ZUES
1325,zfodIZGVWW,zfodIZGVWW
946,zfodIZGVWW,zfodIZGVWW
458,zfodIZGVWW,zfodIZGVWW
432,zfiYcbeQkH,zfiYcbeQkH
571,zfiYcbeQkH,zfiYcbeQkH
243,zfiYcbeQkH,zfiYcbeQkH
213,zfiYcbeQkH,zfiYcbeQkH
652,zaq4LV55xHl,zaq4LV55xHl
268,zaq4LV55xHl,zaq4LV55xHl
658,zaq4LV55xHl,zaq4LV55xHl
439,zaq4LV55xHl,zaq4LV55xHl
774,zaEiQ2dgLv,zaEiQ2dgLv
338,zaEiQ2dgLv,zaEiQ2dgLv
800,zaEiQ2dgLv,zaEiQ2dgLv
422,zaEiQ2dgLv,zaEiQ2dgLv
246,zZhX4eYNeeh,zZhX4eYNeeh
434,zZhX4eYNeeh,zZhX4eYNeeh
555,zZhX4eYNeeh,zZhX4eYNeeh
437,zZhX4eYNeeh,zZhX4eYNeeh
877,zZXztocaN9,zZXztocaN9
388,zZXztocaN9,zZXztocaN9
645,zZXztocaN9,zZXztocaN9
606,zZXwDQFxwib,zZXwDQFxwib
302,zZXwDQFxwib,zZXwDQFxwib
528,zZXwDQFxwib,zZXwDQFxwib
670,zZXwDQFxwib,zZXwDQFxwib
287,zYWtq_HUCoi,zYWtq_HUCoi
645,zYWtq_HUCoi,zYWtq_HUCoi
411,zYWtq_HUCoi,zYWtq_HUCoi
360,zWy7dqOcel,zWy7dqOcel
419,zWy7dqOcel,zWy7dqOcel
625,zWy7dqOcel,zWy7dqOcel
1030,zWy7dqOcel,zWy7dqOcel
265,zWwrB9wenY1U,zWwrB9wenY1U
873,zWwrB9wenY1U,zWwrB9wenY1U
563,zWwrB9wenY1U,zWwrB9wenY1U
830,zWwrB9wenY1U,zWwrB9wenY1U
558,zWudXc9343,zWudXc9343
693,zWudXc9343,zWudXc9343
540,zWudXc9343,zWudXc9343
473,zWudXc9343,zWudXc9343
530,zVrw4OH1Lch,zVrw4OH1Lch
333,zVrw4OH1Lch,zVrw4OH1Lch
408,zVrw4OH1Lch,zVrw4OH1Lch
324,zV3Q0a8--A,zV3Q0a8--A
456,zV3Q0a8--A,zV3Q0a8--A
943,zV3Q0a8--A,zV3Q0a8--A
360,zV3Q0a8--A,zV3Q0a8--A
371,zU8O5w0Wnh1,zU8O5w0Wnh1
401,zU8O5w0Wnh1,zU8O5w0Wnh1
396,zU8O5w0Wnh1,zU8O5w0Wnh1
508,zU8O5w0Wnh1,zU8O5w0Wnh1
522,zT5T9gHpGI,zT5T9gHpGI
450,zT5T9gHpGI,zT5T9gHpGI
868,zT5T9gHpGI,zT5T9gHpGI
399,zS9sRyaPFlJ,zS9sRyaPFlJ
545,zS9sRyaPFlJ,zS9sRyaPFlJ
973,zS9sRyaPFlJ,zS9sRyaPFlJ
469,zS9sRyaPFlJ,zS9sRyaPFlJ
831,zQWqV2tzDv,zQWqV2tzDv
628,zQWqV2tzDv,zQWqV2tzDv
480,zQWqV2tzDv,zQWqV2tzDv
318,zQWqV2tzDv,zQWqV2tzDv
514,zOHQGKO3WGY,zOHQGKO3WGY
1412,zOHQGKO3WGY,zOHQGKO3WGY
673,zOHQGKO3WGY,zOHQGKO3WGY
751,zOHQGKO3WGY,zOHQGKO3WGY
259,zNq-jISUm7E,zNq-jISUm7E
217,zNq-jISUm7E,zNq-jISUm7E
362,zNq-jISUm7E,zNq-jISUm7E
352,zNq-jISUm7E,zNq-jISUm7E
339,zNQ0IywxSuU,zNQ0IywxSuU
895,zNQ0IywxSuU,zNQ0IywxSuU
220,zNQ0IywxSuU,zNQ0IywxSuU
536,zKvm1ETDOq,zKvm1ETDOq
454,zKvm1ETDOq,zKvm1ETDOq
332,zKvm1ETDOq,zKvm1ETDOq
666,zKvm1ETDOq,zKvm1ETDOq
267,zJXg_Wmob03,zJXg_Wmob03
717,zJXg_Wmob03,zJXg_Wmob03
635,zJXg_Wmob03,zJXg_Wmob03
693,zHSaBQtj-l,zHSaBQtj-l
491,zHSaBQtj-l,zHSaBQtj-l
595,zHSaBQtj-l,zHSaBQtj-l
416,zHSaBQtj-l,zHSaBQtj-l
1123,zH9GcZ3ZGXu,zH9GcZ3ZGXu
731,zH9GcZ3ZGXu,zH9GcZ3ZGXu
417,zH9GcZ3ZGXu,zH9GcZ3ZGXu
563,zH9GcZ3ZGXu,zH9GcZ3ZGXu
236,zGy_wqpRGTa,zGy_wqpRGTa
348,zGy_wqpRGTa,zGy_wqpRGTa
354,zGy_wqpRGTa,zGy_wqpRGTa
364,zGy_wqpRGTa,zGy_wqpRGTa
521,zEn1BhaNYsC,zEn1BhaNYsC
360,zEn1BhaNYsC,zEn1BhaNYsC
566,zEn1BhaNYsC,zEn1BhaNYsC
274,zEn1BhaNYsC,zEn1BhaNYsC
340,zEn1BhaNYsC,zEn1BhaNYsC
277,zDjtZZBZtqK,zDjtZZBZtqK
577,zDjtZZBZtqK,zDjtZZBZtqK
470,zDjtZZBZtqK,zDjtZZBZtqK
866,zDjtZZBZtqK,zDjtZZBZtqK
572,zDiHoIWa0q1,zDiHoIWa0q1
695,zDiHoIWa0q1,zDiHoIWa0q1
1522,zDiHoIWa0q1,zDiHoIWa0q1
386,zDiHoIWa0q1,zDiHoIWa0q1
543,zClyiZ5V6sL,zClyiZ5V6sL
478,zClyiZ5V6sL,zClyiZ5V6sL
196,zClyiZ5V6sL,zClyiZ5V6sL
411,zClyiZ5V6sL,zClyiZ5V6sL
657,zAxuIJLb38,zAxuIJLb38
742,zAxuIJLb38,zAxuIJLb38
961,zAxuIJLb38,zAxuIJLb38
521,zAxuIJLb38,zAxuIJLb38
764,zAbFj7FpD-C,zAbFj7FpD-C
1462,zAbFj7FpD-C,zAbFj7FpD-C
439,zAbFj7FpD-C,zAbFj7FpD-C
505,zAbFj7FpD-C,zAbFj7FpD-C
523,zA7hVj3rR19,zA7hVj3rR19
834,zA7hVj3rR19,zA7hVj3rR19
1172,zA7hVj3rR19,zA7hVj3rR19
424,zA7hVj3rR19,zA7hVj3rR19
764,z9SIj-IM7tn,z9SIj-IM7tn
689,z9SIj-IM7tn,z9SIj-IM7tn
347,z9SIj-IM7tn,z9SIj-IM7tn
303,z9SIj-IM7tn,z9SIj-IM7tn
